Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5849¿Program¿¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":760,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Program
5865¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":32},"end":{"line":29,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5866¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5867¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5868¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5869¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5870¿Literal¿number¿¿0xc2¿¿{"start":{"line":29,"column":38},"end":{"line":29,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5871¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":44},"end":{"line":29,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5872¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5873¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5874¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5875¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5876¿Literal¿number¿¿0xc3¿¿{"start":{"line":29,"column":50},"end":{"line":29,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5877¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":56},"end":{"line":29,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5878¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5879¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5880¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5881¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5882¿Literal¿number¿¿0xc5¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":66},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5883¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":68},"end":{"line":29,"column":72},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5884¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5885¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5886¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5887¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5888¿Literal¿number¿¿0xc6¿¿{"start":{"line":29,"column":74},"end":{"line":29,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5889¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":80},"end":{"line":29,"column":84},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5890¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5891¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5892¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5893¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5894¿Literal¿number¿¿0xc7¿¿{"start":{"line":29,"column":86},"end":{"line":29,"column":90},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5895¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":92},"end":{"line":29,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5896¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5897¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5898¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5899¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5900¿Literal¿number¿¿0xc9¿¿{"start":{"line":29,"column":98},"end":{"line":29,"column":102},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5901¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":104},"end":{"line":29,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5902¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5903¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5904¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5905¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5906¿Literal¿number¿¿0xca¿¿{"start":{"line":29,"column":110},"end":{"line":29,"column":114},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5907¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":116},"end":{"line":29,"column":120},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5908¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5909¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5910¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5911¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5912¿Literal¿number¿¿0xcb¿¿{"start":{"line":29,"column":122},"end":{"line":29,"column":126},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5913¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":128},"end":{"line":29,"column":132},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5914¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5915¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5916¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5917¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5918¿Literal¿number¿¿0xcd¿¿{"start":{"line":29,"column":134},"end":{"line":29,"column":138},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5919¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":140},"end":{"line":29,"column":144},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5920¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5921¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5922¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5923¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5924¿Literal¿number¿¿0xce¿¿{"start":{"line":29,"column":146},"end":{"line":29,"column":150},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5925¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":152},"end":{"line":29,"column":156},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5926¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5927¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5928¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5929¿Identifier¿¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5930¿Literal¿number¿¿0xcf¿¿{"start":{"line":29,"column":158},"end":{"line":29,"column":162},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5931¿Literal¿boolean¿¿true¿¿{"start":{"line":29,"column":164},"end":{"line":29,"column":168},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5932¿VariableDeclarator¿¿child¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5933¿CallExpression¿¿¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5934¿Identifier¿¿require¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5935¿Literal¿string¿¿'child_process'¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5936¿VariableDeclarator¿¿exec¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5937¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5938¿Identifier¿¿child¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5939¿Identifier¿¿exec¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5940¿VariableDeclarator¿¿spawn¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5941¿MemberExpression¿¿¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5942¿Identifier¿¿child¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5943¿Identifier¿¿spawn¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5944¿VariableDeclarator¿¿Fs¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5945¿CallExpression¿¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5946¿Identifier¿¿require¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5947¿Literal¿string¿¿'fs'¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5948¿VariableDeclarator¿¿REGEXP_SVG¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5949¿Literal¿object¿¿/(width='\d+')+|(height='\d+')+/g¿¿{"start":{"line":34,"column":19},"end":{"line":34,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5950¿VariableDeclarator¿¿REGEXP_PATH¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5951¿Literal¿object¿¿/\//g¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5952¿VariableDeclarator¿¿REGEXP_ESCAPE¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5953¿Literal¿object¿¿/'/g¿¿{"start":{"line":36,"column":22},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5954¿VariableDeclarator¿¿SPAWN_OPT¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5955¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
5956¿ExpressionStatement¿¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5957¿AssignmentExpression¿=¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5958¿MemberExpression¿¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5959¿Identifier¿¿SPAWN_OPT¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5960¿Identifier¿¿shell¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5961¿Literal¿boolean¿¿true¿¿{"start":{"line":37,"column":27},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5962¿VariableDeclarator¿¿D¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5963¿VariableDeclarator¿¿v533¿¿¿¿¿VariableDeclarator
5964¿CallExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5965¿Identifier¿¿require¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5966¿Literal¿string¿¿'os'¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5967¿VariableDeclarator¿¿v534¿¿¿¿¿VariableDeclarator
5968¿CallExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5969¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5970¿Identifier¿¿v533¿¿¿¿¿Identifier
5971¿Identifier¿¿platform¿¿¿{"start":{"line":38,"column":24},"end":{"line":38,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5972¿VariableDeclarator¿¿v535¿¿¿¿¿VariableDeclarator
5973¿CallExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5974¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5975¿Identifier¿¿v534¿¿¿¿¿Identifier
5976¿Identifier¿¿substring¿¿¿{"start":{"line":38,"column":35},"end":{"line":38,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5977¿Literal¿number¿¿0¿¿{"start":{"line":38,"column":45},"end":{"line":38,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5978¿Literal¿number¿¿3¿¿{"start":{"line":38,"column":48},"end":{"line":38,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5979¿VariableDeclarator¿¿v536¿¿¿¿¿VariableDeclarator
5980¿CallExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿CallExpression
5981¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5982¿Identifier¿¿v535¿¿¿¿¿Identifier
5983¿Identifier¿¿toLowerCase¿¿¿{"start":{"line":38,"column":51},"end":{"line":38,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5984¿VariableDeclarator¿¿v537¿¿¿¿¿VariableDeclarator
5985¿BinaryExpression¿===¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":74},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿BinaryExpression
5986¿Identifier¿¿v536¿¿¿¿¿Identifier
5987¿Literal¿string¿¿'win'¿¿{"start":{"line":38,"column":69},"end":{"line":38,"column":74},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5988¿IfStatement¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿IfStatement
5989¿Identifier¿¿v537¿¿¿¿¿Identifier
5990¿ExpressionStatement¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5991¿AssignmentExpression¿=¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
