Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
710¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":85,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Program
744¿CallExpression¿¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
745¿MemberExpression¿¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
746¿Identifier¿¿url¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
747¿Identifier¿¿match¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
748¿Identifier¿¿reg¿¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
749¿IfStatement¿¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":12,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿IfStatement
750¿Identifier¿¿matches¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
751¿VariableDeclarator¿¿v74¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
752¿MemberExpression¿computed¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
753¿Identifier¿¿matches¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
754¿Literal¿number¿¿1¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
755¿ReturnStatement¿¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ReturnStatement
756¿Identifier¿¿v74¿¿¿¿¿Identifier
757¿BlockStatement¿¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":12,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿BlockStatement
758¿BlockStatement¿¿¿¿¿{"start":{"line":7,"column":31},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿BlockStatement
759¿EmptyStatement¿¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿EmptyStatement
760¿VariableDeclarator¿¿createServer¿¿¿{"start":{"line":15,"column":0},"end":{"line":78,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
761¿FunctionExpression¿¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":78,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿FunctionExpression
762¿Identifier¿¿config¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
763¿VariableDeclarator¿¿v75¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
764¿ObjectExpression¿¿¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ObjectExpression
765¿ExpressionStatement¿¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ExpressionStatement
766¿AssignmentExpression¿=¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿AssignmentExpression
767¿Identifier¿¿config¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
768¿LogicalExpression¿||¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿LogicalExpression
769¿Identifier¿¿config¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
770¿Identifier¿¿v75¿¿¿¿¿Identifier
771¿VariableDeclarator¿¿v76¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
772¿MemberExpression¿¿¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
773¿Identifier¿¿config¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
774¿Identifier¿¿assetPath¿¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
775¿VariableDeclarator¿¿v77¿¿¿{"start":{"line":17,"column":40},"end":{"line":17,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
776¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":40},"end":{"line":17,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
777¿MemberExpression¿¿¿¿¿{"start":{"line":17,"column":40},"end":{"line":17,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
778¿Identifier¿¿path¿¿¿{"start":{"line":17,"column":40},"end":{"line":17,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
779¿Identifier¿¿resolve¿¿¿{"start":{"line":17,"column":45},"end":{"line":17,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
780¿Identifier¿¿__dirname¿¿¿{"start":{"line":17,"column":53},"end":{"line":17,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
781¿Literal¿string¿¿'assets'¿¿{"start":{"line":17,"column":64},"end":{"line":17,"column":72},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
782¿VariableDeclarator¿¿assetPath¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
783¿LogicalExpression¿||¿¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿LogicalExpression
784¿Identifier¿¿v76¿¿¿¿¿Identifier
785¿Identifier¿¿v77¿¿¿¿¿Identifier
786¿VariableDeclarator¿¿v131¿¿¿{"start":{"line":19,"column":29},"end":{"line":77,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
787¿FunctionExpression¿¿anon¿¿¿{"start":{"line":19,"column":29},"end":{"line":77,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿FunctionExpression
788¿Identifier¿¿request¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
789¿Identifier¿¿response¿¿¿{"start":{"line":19,"column":47},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
790¿VariableDeclarator¿¿v78¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":76},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
791¿MemberExpression¿¿¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":76},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
792¿Identifier¿¿request¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
793¿Identifier¿¿headers¿¿¿{"start":{"line":21,"column":69},"end":{"line":21,"column":76},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
794¿VariableDeclarator¿¿v79¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":83},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
795¿MemberExpression¿¿¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":83},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
796¿Identifier¿¿v78¿¿¿¿¿Identifier
797¿Identifier¿¿origin¿¿¿{"start":{"line":21,"column":77},"end":{"line":21,"column":83},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
798¿VariableDeclarator¿¿v80¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
799¿LogicalExpression¿||¿¿¿¿{"start":{"line":21,"column":61},"end":{"line":21,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿LogicalExpression
800¿Identifier¿¿v79¿¿¿¿¿Identifier
801¿Literal¿string¿¿'*'¿¿{"start":{"line":21,"column":87},"end":{"line":21,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
802¿VariableDeclarator¿¿v81¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
803¿TemplateLiteral¿¿¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿TemplateLiteral
804¿Identifier¿¿v80¿¿¿¿¿Identifier
805¿VariableDeclarator¿¿v82¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":93},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
806¿CallExpression¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":93},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
807¿MemberExpression¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
808¿Identifier¿¿response¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
809¿Identifier¿¿setHeader¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
810¿Literal¿string¿¿'Access-Control-Allow-Origin'¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
811¿Identifier¿¿v81¿¿¿¿¿Identifier
812¿ExpressionStatement¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":94},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ExpressionStatement
813¿Identifier¿¿v82¿¿¿¿¿Identifier
814¿VariableDeclarator¿¿v83¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":70},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
815¿CallExpression¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":70},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
816¿MemberExpression¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
817¿Identifier¿¿response¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
818¿Identifier¿¿setHeader¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
819¿Literal¿string¿¿'Access-Control-Allow-Credentials'¿¿{"start":{"line":22,"column":27},"end":{"line":22,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
820¿Literal¿string¿¿'true'¿¿{"start":{"line":22,"column":63},"end":{"line":22,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
821¿ExpressionStatement¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":71},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ExpressionStatement
822¿Identifier¿¿v83¿¿¿¿¿Identifier
823¿VariableDeclarator¿¿v84¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
824¿MemberExpression¿¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
825¿Identifier¿¿request¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
826¿Identifier¿¿method¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
827¿VariableDeclarator¿¿v85¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
828¿BinaryExpression¿===¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿BinaryExpression
829¿Identifier¿¿v84¿¿¿¿¿Identifier
830¿Literal¿string¿¿'OPTIONS'¿¿{"start":{"line":23,"column":30},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
831¿IfStatement¿¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":30,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿IfStatement
832¿Identifier¿¿v85¿¿¿¿¿Identifier
833¿VariableDeclarator¿¿v86¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
834¿CallExpression¿¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
835¿MemberExpression¿¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
836¿Identifier¿¿response¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
837¿Identifier¿¿setHeader¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
838¿Literal¿string¿¿'Access-Control-Allow-Methods'¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
839¿Literal¿string¿¿'*'¿¿{"start":{"line":24,"column":63},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
840¿ExpressionStatement¿¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ExpressionStatement
841¿Identifier¿¿v86¿¿¿¿¿Identifier
842¿VariableDeclarator¿¿v87¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":97},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
843¿CallExpression¿¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":97},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
844¿MemberExpression¿¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿MemberExpression
845¿Identifier¿¿response¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
846¿Identifier¿¿setHeader¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Identifier
847¿Literal¿string¿¿'Access-Control-Allow-Headers'¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
848¿Literal¿string¿¿'Content-Type,x-requested-with,*'¿¿{"start":{"line":25,"column":63},"end":{"line":25,"column":96},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿Literal
849¿ExpressionStatement¿¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":98},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿ExpressionStatement
850¿Identifier¿¿v87¿¿¿¿¿Identifier
851¿VariableDeclarator¿¿v88¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":65},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿VariableDeclarator
852¿CallExpression¿¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":65},"fname":"/datasets/secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js"}¿¿CallExpression
